month_released,rated,genre,runtime_minutes,belongs_to_collection,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_score,dir_acted,dir_animation_dept,dir_art_dept,dir_art_dir,dir_assistant_dir,dir_camera_dept,dir_casting_dept,dir_casting_dir,dir_cinematographer,dir_composer,dir_costume_designer,dir_editor,dir_editorial_dept,dir_location_management,dir_makeup_dept,dir_music_artist,dir_music_dept,dir_producer,dir_production_designer,dir_production_manager,dir_script_dept,dir_sound_dept,dir_soundtrack,dir_special_effects,dir_stunts,dir_visual_effects,dir_writer,non_dom_gross_usd,title_length,worldwide_roi,domestic_roi,non_dom_roi,success_level_ww
10,R,Drama,114.0,0,800000,1001437,1001437,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0.25179625,0.25179625,-1.0,1
12,PG,Biography,131.0,0,22000000,25842377,25842377,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0.1746535,0.1746535,-1.0,1
1,R,Action,94.0,0,15000000,22189039,52189039,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30000000,14,2.4792692666666665,0.4792692666666667,1.0,2
4,PG,Adventure,108.0,0,6500000,24103594,24103594,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27,2.7082452307692306,2.7082452307692306,-1.0,2
4,R,Horror,122.0,0,15000000,9579068,9579068,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13,-0.36139546666666666,-0.36139546666666666,-1.0,0
1,PG-13,Action,99.0,0,6000000,3273588,3273588,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15,-0.454402,-0.454402,-1.0,0
2,PG-13,Drama,114.0,0,30000000,50081992,140081992,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,90000000,9,3.6693997333333335,0.6693997333333334,2.0,2
9,R,Action,98.0,1,3000000,3902679,3902679,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0.300893,0.300893,-1.0,1
1,G,Family,92.0,0,19000000,2119994,2119994,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,-0.8884213684210527,-0.8884213684210527,-1.0,0
9,R,Drama,142.0,0,25000000,28241469,28419159,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,177690,24,0.13676636,0.12965876,-0.9928924,1
9,R,Crime,154.0,0,8000000,107928762,212891760,8.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,104962998,12,25.61147,12.49109525,12.12037475,2
7,PG-13,Drama,142.0,0,55000000,330151138,679835137,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,349683999,12,11.360638854545455,5.002747963636364,5.357890890909091,2
7,R,Action,141.0,0,100000000,146282411,365300000,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,219017589,9,2.653,0.46282411,1.19017589,2
6,G,Animation,88.0,1,79300000,421785283,986193783,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564408500,13,11.436239382093316,4.318856027742749,6.117383354350568,2
7,PG-13,Action,101.0,1,18000000,119920129,351620129,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,231700000,8,18.534451611111113,5.662229388888889,11.872222222222222,2
6,R,Action,116.0,1,30000000,121248145,283200000,7.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,161951855,5,8.44,3.0416048333333334,4.398395166666667,2
10,PG-13,Action,116.0,0,55000000,71565669,196565669,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,125000000,8,2.5739212545454544,0.3011939818181818,1.2727272727272727,2
12,R,Drama,133.0,0,30000000,66502573,160502573,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,94000000,19,4.350085766666667,1.2167524333333333,2.1333333333333333,2
3,R,Comedy,117.0,0,4500000,52700832,242895809,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,190194977,27,52.97684644444445,10.711296,41.26555044444444,2
5,PG,Comedy,91.0,1,45000000,130531208,358500000,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,227968792,15,6.966666666666667,1.9006935111111112,4.065973155555556,2
2,PG-13,Comedy,86.0,1,12000000,72217396,107217396,6.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35000000,26,7.934783,5.018116333333333,1.9166666666666667,2
12,PG,Drama,115.0,0,15000000,50003303,50003303,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,2.3335535333333333,2.3335535333333333,-1.0,2
12,PG-13,Action,102.0,1,35000000,33423000,99423000,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,66000000,14,1.8406571428571428,-0.04505714285714286,0.8857142857142857,2
8,PG-13,Action,141.0,1,62000000,122012656,207500000,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,85487344,24,2.346774193548387,0.9679460645161291,0.37882812903225804,2
